Geography,"Population, 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
0001.01 - Calgary i163,5001,1.7,2936.2
0001.02 - Calgary i164,6257,3.66,1708.4
0001.03 - Calgary i165,2043,1.05,1947.9
0001.04 - Calgary i166,5549,2.53,2192.9
0001.05 - Calgary i167,2854,1.15,2479.4
0001.06 - Calgary i168,3652,3.39,1078.5
0001.07 - Calgary i169,5895,2.93,2013.9
0001.08 - Calgary i170,5134,3.63,1414.8
0001.09 - Calgary i171,5895,3.48,61696.4
0001.10 - Calgary i172,2669,2.68,996
0001.11 - Calgary i173,4864,7.92,614.1
0001.13 - Calgary i174,4476,1.42,3146.1
0001.14 - Calgary i175,2449,2,1222.1
0001.17 - Calgary i176,4273,2.65,1611.5
0001.22 - Calgary i177,4076,3.27,1244.8
0001.23 - Calgary i178,3083,1.13,2732.9
0001.25 - Calgary i179,6754,1.65,4100.3
0001.28 - Calgary i180,4153,1.17,3554.4
0001.29 - Calgary i181,4451,1.09,4095.1
0001.30 - Calgary i182,6247,1.86,3358.6
0001.32 - Calgary i183,5582,1.8,3109.7
0001.33 - Calgary i184,3043,1,3029.4
0001.35 - Calgary i185,4584,17.5,262
0001.37 - Calgary i186,4666,0.76,6174.4
0001.38 - Calgary i187,5637,1.27,4456.1
0001.39 - Calgary i188,6910,4.95,1396
0001.40 - Calgary i189,2169,0.38,5754.8
0001.41 - Calgary i190,2730,1.47,1858.9
0001.42 - Calgary i191,6933,9.99,693.9
0001.43 - Calgary i192,5036,1.04,4841.8
0001.44 - Calgary i193,2662,0.57,4632
0001.45 - Calgary i194,3897,3.1,1257.4
0001.46 - Calgary i195,4799,1,4785.6
0001.47 - Calgary i196,3391,4.21,806.3
0001.48 - Calgary i197,7975,5.88,1355.6
0001.49 - Calgary i198,4303,2.76,1558.3
0001.50 - Calgary i199,2159,1.53,1412.4
0002.02 - Calgary i200,7245,30.75,235.6
0002.04 - Calgary i201,755,80.78,9.3
0002.06 - Calgary i202,3830,2.13,1795.6
0002.07 - Calgary i203,4680,2.1,2223.8
0002.08 - Calgary i204,4347,1.59,2741.9
0002.09 - Calgary i205,3626,1.12,3247.6
0002.10 - Calgary i206,3999,1.83,2187.4
0002.11 - Calgary i207,3775,2.35,1605.8
0002.12 - Calgary i208,1890,0.56,3357
0002.14 - Calgary i209,4786,2.12,2253.4
0002.15 - Calgary i210,4274,3.13,1367.2
0002.17 - Calgary i211,2525,0.79,3195.8
0002.18 - Calgary i212,6690,1.71,3921.2
0002.22 - Calgary i213,5060,2.47,2049.7
0002.24 - Calgary i214,3930,0.85,4617.6
0002.25 - Calgary i215,4612,1.18,3920.1
0002.26 - Calgary i216,3596,1.02,3529.3
0002.27 - Calgary i217,4219,0.86,4898.4
0002.28 - Calgary i218,5233,0.73,7191.2
0002.29 - Calgary i219,4471,1.22,3677.1
0002.30 - Calgary i220,5101,1.22,4165.1
0002.31 - Calgary i221,4380,1.92,2285.2
0002.32 - Calgary i222,3495,1.08,3228.9
0002.33 - Calgary i223,2938,0.83,3535.5
0002.34 - Calgary i224,5009,1.35,3713.4
0002.35 - Calgary i225,3409,0.63,5410.3
0002.36 - Calgary i226,3445,0.5,6825.8
0002.37 - Calgary i227,3317,1.17,2845.7
0002.38 - Calgary i228,14189,20.02,708.7
0002.39 - Calgary i229,6662,1.84,3627.6
0002.40 - Calgary i230,9200,3.91,2350.1
0003.00 - Calgary i231,3296,10.04,328.2
0004.00 - Calgary i232,3088,1.99,1548.5
0005.00 - Calgary i233,2104,1.79,1175.7
0006.00 - Calgary i234,6092,2.22,2743.4
0007.01 - Calgary i235,5706,1.96,2915.5
0007.02 - Calgary i236,5943,2.04,2910.5
0007.03 - Calgary i237,5623,4.99,1126.6
0007.05 - Calgary i238,672,0.83,805
0007.06 - Calgary i239,3401,0.98,3470.1
0007.07 - Calgary i240,1586,0.95,1671.2
0008.00 - Calgary i241,2849,1.21,2351.8
0009.00 - Calgary i242,2502,0.98,2564.8
0010.00 - Calgary i243,7208,1.89,3822.5
0011.00 - Calgary i244,3182,1.34,2367.4
0012.00 - Calgary i245,3909,2.16,1812.7
0013.00 - Calgary i246,4700,1.33,3537
0014.00 - Calgary i247,5008,3.74,1339.7
0015.00 - Calgary i248,3541,4.04,876.5
0016.00 - Calgary i249,4544,1.64,2770.9
0017.01 - Calgary i250,5133,1.74,2941.7
0017.03 - Calgary i251,3485,0.82,4250
0017.04 - Calgary i252,4512,2.09,2160
0017.05 - Calgary i253,3541,1.72,2057.4
0017.06 - Calgary i254,5240,1.66,3157.4
0018.01 - Calgary i255,2994,1.09,2749.3
0018.02 - Calgary i256,2121,0.64,3305.8
0019.00 - Calgary i257,5052,1.54,3285
0020.00 - Calgary i258,5160,1.23,4183.6
0021.01 - Calgary i259,2775,0.61,4551.4
0021.02 - Calgary i260,1942,0.61,3208.9
0022.01 - Calgary i261,5069,2.09,2430.5
0022.02 - Calgary i262,3290,1.88,1749.7
0023.00 - Calgary i263,5243,1.88,2788.8
0024.00 - Calgary i264,7127,1.5,4739.3
0025.00 - Calgary i265,5355,1.33,4016.7
0026.00 - Calgary i266,3396,0.4,8541.2
0027.01 - Calgary i267,3136,0.26,12126.8
0027.02 - Calgary i268,1760,0.74,2373.6
0027.03 - Calgary i269,1771,0.33,5379.7
0028.00 - Calgary i270,4039,1.92,2106.1
0029.00 - Calgary i271,7156,2.68,2671.7
0030.00 - Calgary i272,4869,5.35,910.7
0031.01 - Calgary i273,5244,0.8,6587.1
0031.02 - Calgary i274,4558,0.47,9599.8
0032.00 - Calgary i275,2218,7.1,312.6
0033.01 - Calgary i276,3168,2.08,1523.1
0033.02 - Calgary i277,5316,7.81,681.1
0034.00 - Calgary i278,4380,5.34,819.6
0035.01 - Calgary i279,6896,2.77,2487.4
0035.02 - Calgary i280,1680,0.85,1968.8
0036.01 - Calgary i281,3544,0.94,3756.6
0036.02 - Calgary i282,3364,0.98,3441.1
0037.00 - Calgary i283,4149,1.32,3104.1
0038.02 - Calgary i284,3818,1.11,3439
0038.03 - Calgary i285,4192,1.29,3259.7
0038.04 - Calgary i286,6120,1.52,4016.3
0038.05 - Calgary i287,4729,1.2,3947.4
0038.06 - Calgary i288,6561,2.18,3006.5
0038.07 - Calgary i289,4560,1.39,3284.4
0038.08 - Calgary i290,4740,1.36,3482.5
0038.10 - Calgary i291,5362,1.48,3611.5
0038.11 - Calgary i292,5187,1.13,4583
0038.12 - Calgary i293,5058,1.35,3752.8
0038.13 - Calgary i294,5252,1.34,3917.6
0038.14 - Calgary i295,5635,1.32,4267.3
0038.15 - Calgary i296,6021,1.29,4656.3
0038.17 - Calgary i297,6039,1.43,4233.7
0038.18 - Calgary i298,6127,1.23,4970
0038.20 - Calgary i299,6835,1.58,4319.9
